timestamp,ftr_vector,label,labelInfo
0.01,"[-0.416173403253, 58.3364201324]",False,0.0
0.02,"[0.167190798071, 62.894980965300014]",False,0.0
0.03,"[0.841726216053, -25.99790485519997]",False,0.0
0.04,"[-0.352767299033, -23.425828468699997]",False,0.0
0.05,"[0.373209646679, -9.303907373600058]",False,0.0
0.06,"[-0.538845446505, -12.539326731900106]",False,0.0
0.07,"[0.122423112041, 65.13533612634998]",False,0.0
0.08,"[0.763861276022, -35.81296489620002]",False,0.0
0.09,"[-0.593836185883, -64.31615331874966]",False,0.0
0.0999999999999999,"[-0.522461790353, 31.60751410182488]",False,0.0
0.1099999999999999,"[0.0383140961535, 80.66066578615002]",False,0.0
0.1199999999999999,"[1.09075152537, -18.946566873975012]",False,0.0
0.1299999999999999,"[-0.340617241326, -40.02883129000014]",False,0.0
0.1399999999999999,"[0.29017489957, 34.066538804300066]",False,0.0
0.15,"[0.34071353476, -2.27007487230005]",False,0.0
0.16,"[0.244773402124, -4.533499164499995]",False,0.0
0.17,"[0.25004355147, 62.1131707388002]",False,0.0
0.18,"[1.4870368169, 20.676485329100295]",False,0.0
0.19,"[0.663573258052, -105.3385568392499]",False,0.0
0.2,"[-0.619734319885, -48.077390630799805]",False,0.0
0.21,"[-0.297974554564, 64.13903824644994]",False,0.0
0.22,"[0.663046445044, 44.60683953004997]",False,0.0
0.23,"[0.594162236037, -35.3243410121101]",False,0.0
0.24,"[-0.0434403751982, -0.4301742071001762]",False,0.0
0.25,"[0.585558751895, -21.43954575328998]",False,0.0
0.26,"[-0.472231290264, -49.685571216850136]",False,0.0
0.2700000000000001,"[-0.408152672442, -5.823842783100048]",False,0.0
0.2800000000000001,"[-0.588708145926, -4.301313771949996]",False,0.0
0.2900000000000001,"[-0.494178947881, 55.23974188259995]",False,0.0
0.3000000000000001,"[0.516086691726, 0.19811718334999995]",False,0.0
0.3100000000000001,"[-0.490216604214, -6.290785980599992]",False,0.0
0.3200000000000001,"[0.390270972114, 67.38416392404994]",False,0.0
0.3300000000000001,"[0.857466674267, 63.02937223480022]",False,0.0
0.3400000000000001,"[1.65085841681, -76.10984805704928]",False,0.0
0.3500000000000001,"[-0.664730286874, -91.75948622994993]",False,0.0
0.3600000000000001,"[-0.184331307789, -14.365654956499988]",False,0.0
0.3700000000000001,"[-0.952043386004, 3.8337103433499964]",False,0.0
0.3800000000000001,"[-0.107657100922, 118.88470357019938]",False,0.0
0.3900000000000002,"[1.4256506854, -17.782006112100888]",False,0.0
0.4000000000000002,"[-0.463297223164, -37.406469063399975]",False,0.0
0.4100000000000002,"[0.677521304132, -33.275029418799974]",False,0.0
0.4200000000000002,"[-1.12879781154, -35.83577049822997]",False,0.0
0.4300000000000002,"[-0.0391941058326, 56.71902699612645]",False,0.0
0.4400000000000002,"[0.00558272838253, -46.340230407670376]",False,0.0
0.4500000000000002,"[-0.965998713986, -62.83926107262681]",False,0.0
0.4600000000000002,"[-1.25120249307, 65.31744560394995]",False,0.0
0.4700000000000002,"[0.340350198093, 76.93641214399993]",False,0.0
0.4800000000000002,"[0.28752574981, 2.809569861]",False,0.0
0.4900000000000002,"[0.396541595313, 20.239891390549985]",False,0.0
0.5000000000000002,"[0.692323577621, -35.70155874214997]",False,0.0
0.5100000000000002,"[-0.31748957953, -79.22404731889995]",False,0.0
0.5200000000000002,"[-0.892157368757, 41.23496352779996]",False,0.0
0.5300000000000002,"[0.507209691026, -6.122550634149988]",False,0.0
0.5400000000000003,"[-1.01460838144, -36.71633344004997]",False,0.0
0.5500000000000003,"[-0.227116977775, -26.33519968799998]",False,0.0
0.5600000000000003,"[-1.5413123752, 9.344124814119994]",False,0.0
0.5700000000000003,"[-0.0402344814926, 178.35372296499986]",False,0.0
0.5800000000000003,"[2.0257620841, -40.44412489246997]",False,0.0
0.5900000000000003,"[-0.849116979342, -113.81279407894992]",False,0.0
0.6000000000000003,"[-0.250493797479, 40.89989457990997]",False,0.0
0.6100000000000003,"[-0.0311190877438, 26.71315723209998]",False,0.0
0.6200000000000003,"[0.283769347163, -19.660657212359983]",False,0.0
